tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
390,15:48.1,22:18.4,546,E 30 St & Park Ave S,40.74444921,-73.98303529,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35160,Subscriber,1981,1
3456,4/1/2017 12:25,4/1/2017 13:23,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,28836,Subscriber,1975,2
1381,5/16/2014 8:01,5/16/2014 8:24,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,233,Joralemon St & Adams St,40.69246277,-73.98963911,21667,Subscriber,1968,1
232,20:25.1,24:17.2,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,3100,Nassau Ave & Newell St,40.72481256,-73.94752622,20803,Subscriber,1968,2
852,5/20/2017 17:49,5/20/2017 18:03,505,6 Ave & W 33 St,40.74901271,-73.98848395,402,Broadway & E 22 St,40.7403432,-73.98955109,20841,Subscriber,1984,1
729,58:22.9,10:32.5,458,11 Ave & W 27 St,40.751396,-74.005226,168,W 18 St & 6 Ave,40.73971301,-73.99456405,18755,Subscriber,1994,1
1427,51:25.7,15:13.6,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,26095,Subscriber,1983,1
882,2/16/2014 18:54,2/16/2014 19:08,457,Broadway & W 58 St,40.76695317,-73.98169333,164,E 47 St & 2 Ave,40.75323098,-73.97032517,16127,Subscriber,1948,1
1728,5/31/2015 9:11,5/31/2015 9:40,361,Allen St & Hester St,40.71605866,-73.99190759,361,Allen St & Hester St,40.71605866,-73.99190759,20573,Subscriber,1968,1
738,10/17/2014 8:52,10/17/2014 9:04,212,W 16 St & The High Line,40.74334935,-74.00681753,496,E 16 St & 5 Ave,40.73726186,-73.99238967,20690,Subscriber,1989,2
213,56:32.3,00:05.8,3623,W 120 St & Claremont Ave,40.8109494,-73.9634,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,16456,Subscriber,1998,2
