TITLE,YEAR
Pinocchio (Live-Action),Unknown
Kim Possible,TBA
TRON 3,Stalled
Enchanted 2,DEV
Tink,DEV
Miracle of the White Stallions,1963
Summer Magic,1963
Savage Sam,1963
The Incredible Journey,1963
The Sword in the Stone,1963
Son of Flubber,1963
Almost Angels,1962
The Legend of Lobo,1962
Bon Voyage!,1962
Big Red,1962
Moon Pilot,1962
In Search of Castaways,1962
The Absent-Minded Professor,1961
Greyfriars Bobby,1961
Babes in Toyland,1961
The Parent Trap,1961
101 Dalmatians (Animated),1961
Toby Tyler,1960
Kidnapped,1960
The Sign of Zorro,1960
Pollyanna,1960
Ten Who Dared,1960
Swiss Family Robinson,1960
Sleeping Beauty,1959
Third Man on the Mountain,1959
The Shaggy Dog,1959
Darby O'Gill and the Little People,1959
Tonka,1958
The Light in the Forest,1958
Johnny Tremain,1957
Old Yeller,1957
"Westward Ho, The Wagons!",1956
Davy Crockett and the River Pirates,1956
The Great Locomotive Chase,1956
The Littlest Outlaw,1955
Lady and the Tramp,1955
"Davy Crockett, King of the Wild Frontier",1955
"20,000 Leagues Under the Sea",1954
Peter Pan,1953
The Sword and the Rose,1953
Rob Roy: The Highland Rogue,1953
The Story of Robin Hood and His Merrie Men,1952
Alice in Wonderland,1951
Treasure Island,1950
Cinderella,1950
The Adventures of Ichabod and Mr. Toad,1949
Melody Time,1948
So Dear to My Heart,1948
Fun & Fancy Free,1947
Song of the South,1946
Make Mine Music,1946
The Three Caballeros,1944
Saludos Amigos,1943
Victory Through Air Power,1943
Bambi,1942
The Reluctant Dragon,1941
Dumbo,1941
Pinocchio,1940
Fantasia,1940
Snow White and the Seven Dwarfs,1937
--,--
