UPCMasterId,UPC,UPCName,ASINMasterId,ASIN,ASIN_Name
87601,28400597357,"Smartfood Delight Popcorn, Sea Salted Caramel, 5.5 oz",27032,B01D4GA2FY,"Smartfood Delight Popcorn, Sea Salted Caramel, 5.5 oz"
61152,28400598118,"Lay's Potato Chips, Barbecue, 9.5 Oz",2913,B01B5L0TIK,"Lay's Barbecue Potato Chips, 9.75 Ounce"
61152,28400598118,"Lay's Potato Chips, Barbecue, 9.5 Oz",2801,B019KE3BUM,"Lay's Barbecue Potato Chips, 9.75 Ounce"
57597,28400598125,"Lay's Potato Chips, Classic, 10 Oz",2874,B019KE3I5U,"Lays Classic Potato Chips, 10.25 oz"
62075,28400598132,"Lay&Apos;S Original Wavy Potato Chips, 10.25 Oz",2873,B019KE3GHK,"Lay's Wavy Original Potato Chips, 10.25 Ounce"
61153,28400598149,"Lay's Potato Chips, Sour Cream and Onion, 9.5 Oz",2804,B019KE3GVQ,"Lay's Sour Cream and Onion Potato Chips, 9.75 Ounce"
61153,28400598149,"Lay's Potato Chips, Sour Cream and Onion, 9.5 Oz",2852,B01B5L11LY,"Lay's Sour Cream and Onion Potato Chips, 9.75 Ounce"
87603,28400598279,"Doritos Jacked Ranch Dipped Hot Wings Flavored Tortilla Chips, 9.5 Ounce",2889,B01B5L0XF4,"Doritos Jacked Ranch Dipped Hot Wings Flavored Tortilla Chips, 9.5 Ounce"
87603,28400598279,"Doritos Jacked Ranch Dipped Hot Wings Flavored Tortilla Chips, 9.5 Ounce",2802,B019KE3CWY,"Doritos Jacked Ranch Dipped Hot Wings Flavored Tortilla Chips, 9.5 Ounce"
57599,28400598293,"Ruffles Ridged Potato Chips, All Dressed, 8.5 Oz",2909,B01CSOUWRG,"Ruffles All Dressed Ridged Potato Chips, 8.5 Ounce"
57599,28400598293,"Ruffles Ridged Potato Chips, All Dressed, 8.5 Oz",27025,B01D4G9UFM,"Ruffles All Dressed Flavored Potato Chips, 8.5 Ounce"
87605,28400598446,"Ruffles Ruffled Reduced Fat Original Ridged Potato Chips, 8.5 Ounce",2807,B019W41UI0,"Ruffles Ruffled Reduced Fat Original Ridged Potato Chips, 8.5 Ounce"
64258,28400598453,"Ruffles Potato Chips, Classic Hot Wings, 8.5 Oz",27034,B01D4GA42U,"Ruffles Classic Ridged Potato Chips, Hot Wings, 8.5 Ounce"
64258,28400598453,"Ruffles Potato Chips, Classic Hot Wings, 8.5 Oz",27042,B01CTRZ4J8,"Ruffles Classic Ridged Potato Chips, Hot Wings, 8.5 Ounce"
64259,28400598514,"Ruffles Potato Chips, Loaded Bacon & Cheddar, 8.5 Oz",27046,B01CTRZ4JS,"Ruffles Ridged Potato Chips, Loaded Bacon/Cheddar Potato Skins, 8.5 Ounce"
64259,28400598514,"Ruffles Potato Chips, Loaded Bacon & Cheddar, 8.5 Oz",27018,B01D4GA0QA,"Ruffles Loaded Bacon & Cheddar Flavored Potato Chips, 8.5 Ounce"
