UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
64017367017,Quaker,Pasta Roni,Quaker,Corporate,False,False
6608607087,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826713360,Quaker,Quaker,Quaker,Corporate,False,False
68826713359,Quaker,Quaker,Quaker,Corporate,False,False
68826714045,Beverages,Diet Mountain Dew,PBC,Corporate,True,False
68826707633,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826713423,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707635,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826713424,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707191,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707204,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707112,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707206,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826707192,Quaker,Pasta Roni,Quaker,Corporate,False,False
68826704485,Quaker,Pasta Roni,Quaker,Corporate,False,False
4732502429,Quaker,Pasta Roni,Quaker,Corporate,False,False
0,FLNA,Grandmas,FLNA,Corporate,False,False
1200000016,Beverages,Pepsi,PBC,Corporate,True,True
1200080994,Beverages,Pepsi,PBC,Corporate,True,True
1200010604,Beverages,Pepsi,PBC,Corporate,True,True
1200000017,Beverages,Pepsi,PBC,Corporate,True,True
1200010028,Beverages,Pepsi,PBC,Corporate,True,True
1200050405,Beverages,Pepsi,PBC,Corporate,True,True
1200000826,Beverages,Pepsi,PBC,Corporate,True,True
1200001426,Beverages,Pepsi,PBC,Corporate,True,True
1200059156,Beverages,Pepsi,PBC,Corporate,True,True
1200080008,Beverages,Pepsi,PBC,Corporate,True,True
1200000113,Beverages,Pepsi,PBC,Corporate,True,True
1200000230,Beverages,Pepsi,PBC,Corporate,True,True
1200000531,Beverages,Pepsi,PBC,Corporate,True,True
1200081002,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000492,Beverages,Pepsi,PBC,Corporate,True,True
1200081003,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000524,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000514,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200001422,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200059158,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000496,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200003068,Beverages,Pepsi,PBC,Corporate,True,True
1200000190,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200080995,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200010605,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000053,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200010041,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200050406,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000841,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200001430,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200059157,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200014093,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200080139,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000132,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000231,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000533,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000916,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000058,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000239,Beverages,Pepsi,PBC,Corporate,True,True
1200001519,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200001515,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000611,Beverages,Pepsi,PBC,Corporate,True,True
1200001879,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200003196,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200036602,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200003281,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200001881,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200015029,Beverages,Pepsi,PBC,Corporate,True,True
