,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
51,"8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825","8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825","8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825","8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825","8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825","8 Kung Fu Panda $1,818,607,666 3 $606,202,555 Kung Fu Panda 2 ($665,692,281) 1 Kung Fu Panda 2 (2011) $665,692,281 2 Kung Fu Panda (2008) $631,744,560 3 Kung Fu Panda 3 (2016) $521,170,825"
52,8,Kung Fu Panda,"$1,818,607,666",3,"$606,202,555","Kung Fu Panda 2 ($665,692,281)"
53,1,Kung Fu Panda 2 (2011),"$665,692,281",,,
54,2,Kung Fu Panda (2008),"$631,744,560",,,
55,3,Kung Fu Panda 3 (2016),"$521,170,825",,,
56,"9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","9 Cars $1,798,902,845 5 $359,780,569 Cars 2 ($562,110,557) Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656 Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640"
57,9,Cars,"$1,798,902,845",5,"$359,780,569","Cars 2 ($562,110,557)"
58,"Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656","Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656","Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656","Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656","Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656","Main series $1,408,257,493 3 $469,419,164 Cars 2 ($562,110,557) 1 Cars 2 (2011) $562,110,557 2 Cars (2006) $462,216,280 3 Cars 3 (2017) $383,930,656"
59,,Main series,"$1,408,257,493",3,"$469,419,164","Cars 2 ($562,110,557)"
60,1,Cars 2 (2011),"$562,110,557",,,
