,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
99,"Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000","Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000","Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000","Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000","Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000","Original Series $339,695,792 25 $13,587,832 Nobita's the Legend of the Sun King ($28,300,000) 1 Nobita's the Legend of the Sun King (2000) $28,300,000 2 Nobita in the Wan-Nyan Spacetime Odyssey (2004) $26,663,978 3 Nobita and the Winged Braves (2001) $25,100,000 4 Nobita and the Windmasters (2003) $20,455,511 5 Nobita and the Spiral City (1997) $16,500,000 6 Nobita's Great Adventure in the South Seas (1998) $16,500,000 7 Nobita Drifts in the Universe (1999) $16,300,000 8 Nobita in the Robot Kingdom (2002) $16,076,303 9 Nobita and the Birth of Japan (1989) $15,700,000 10 Nobita and the Galaxy Super-express (1996) $15,100,000 11 Nobita and the Tin Labyrinth (1993) $14,200,000 12 Nobita's Diary of the Creation of the World (1995) $13,700,000 13 Nobita's Dorabian Nights (1991) $13,200,000 14 Nobita's Three Visionary Swordsmen (1994) $12,800,000 15 Nobita and the Kingdom of Clouds (1992) $12,800,000 16 Nobita and the Animal Planet (1990) $12,600,000 17 The Record of Nobita's Parallel Visit to the West (1988) $10,700,000 18 Nobita and the Knights on Dinosaurs (1987) $9,800,000 19 The Records of Nobita, Spaceblazer (1981) $8,400,000 20 Nobita and the Steel Troops (1986) $7,400,000 21 Nobita's Great Adventure into the Underworld (1984) $7,300,000 22 Nobita's Dinosaur (1980) $6,200,000 23 Nobita and the Haunts of Evil (1982) $5,100,000 24 Nobita's Little Star Wars (1985) $4,600,000 25 Nobita and the Castle of the Undersea Devil (1983) $4,200,000"
100,,Original Series,"$339,695,792",25,"$13,587,832","Nobita's the Legend of the Sun King ($28,300,000)"
101,1,Nobita's the Legend of the Sun King (2000),"$28,300,000",,,
102,2,Nobita in the Wan-Nyan Spacetime Odyssey (2004),"$26,663,978",,,
103,3,Nobita and the Winged Braves (2001),"$25,100,000",,,
104,4,Nobita and the Windmasters (2003),"$20,455,511",,,
105,5,Nobita and the Spiral City (1997),"$16,500,000",,,
106,6,Nobita's Great Adventure in the South Seas (1998),"$16,500,000",,,
107,7,Nobita Drifts in the Universe (1999),"$16,300,000",,,
108,8,Nobita in the Robot Kingdom (2002),"$16,076,303",,,
109,9,Nobita and the Birth of Japan (1989),"$15,700,000",,,
110,10,Nobita and the Galaxy Super-express (1996),"$15,100,000",,,
111,11,Nobita and the Tin Labyrinth (1993),"$14,200,000",,,
112,12,Nobita's Diary of the Creation of the World (1995),"$13,700,000",,,
113,13,Nobita's Dorabian Nights (1991),"$13,200,000",,,
114,14,Nobita's Three Visionary Swordsmen (1994),"$12,800,000",,,
115,15,Nobita and the Kingdom of Clouds (1992),"$12,800,000",,,
116,16,Nobita and the Animal Planet (1990),"$12,600,000",,,
117,17,The Record of Nobita's Parallel Visit to the West (1988),"$10,700,000",,,
118,18,Nobita and the Knights on Dinosaurs (1987),"$9,800,000",,,
119,19,"The Records of Nobita, Spaceblazer (1981)","$8,400,000",,,
120,20,Nobita and the Steel Troops (1986),"$7,400,000",,,
121,21,Nobita's Great Adventure into the Underworld (1984),"$7,300,000",,,
122,22,Nobita's Dinosaur (1980),"$6,200,000",,,
123,23,Nobita and the Haunts of Evil (1982),"$5,100,000",,,
124,24,Nobita's Little Star Wars (1985),"$4,600,000",,,
125,25,Nobita and the Castle of the Undersea Devil (1983),"$4,200,000",,,
126,"Stand by Me Doraemon (2014) $183,442,714","Stand by Me Doraemon (2014) $183,442,714","Stand by Me Doraemon (2014) $183,442,714","Stand by Me Doraemon (2014) $183,442,714","Stand by Me Doraemon (2014) $183,442,714","Stand by Me Doraemon (2014) $183,442,714"
127,,Stand by Me Doraemon (2014),"$183,442,714",,,
128,"14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555","14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555","14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555","14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555","14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555","14 The Lego Movie $1,089,116,213 4 $272,279,053 The Lego Movie ($469,160,692) Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582 The Lego Batman Movie (2017) $311,950,384 The Lego Ninjago Movie (2017) $123,081,555"
129,14,The Lego Movie,"$1,089,116,213",4,"$272,279,053","The Lego Movie ($469,160,692)"
130,"Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582","Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582","Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582","Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582","Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582","Main series $654,084,274 2 $327,042,137 The Lego Movie ($469,160,692) 1 The Lego Movie (2014) $469,160,692 2 The Second Part (2019) $184,923,582"
131,,Main series,"$654,084,274",2,"$327,042,137","The Lego Movie ($469,160,692)"
132,1,The Lego Movie (2014),"$469,160,692",,,
133,2,The Second Part (2019),"$184,923,582",,,
134,"The Lego Batman Movie (2017) $311,950,384","The Lego Batman Movie (2017) $311,950,384","The Lego Batman Movie (2017) $311,950,384","The Lego Batman Movie (2017) $311,950,384","The Lego Batman Movie (2017) $311,950,384","The Lego Batman Movie (2017) $311,950,384"
135,,The Lego Batman Movie (2017),"$311,950,384",,,
136,"The Lego Ninjago Movie (2017) $123,081,555","The Lego Ninjago Movie (2017) $123,081,555","The Lego Ninjago Movie (2017) $123,081,555","The Lego Ninjago Movie (2017) $123,081,555","The Lego Ninjago Movie (2017) $123,081,555","The Lego Ninjago Movie (2017) $123,081,555"
137,,The Lego Ninjago Movie (2017),"$123,081,555",,,
138,"15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788","15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788","15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788","15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788","15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788","15 Pokémon $1,017,468,004 21 $48,450,857 The First Movie ($163,644,662) The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919 Diamond & Pearl $207,651,955 4 $51,912,989 Zoroark: Master of Illusions ($71,143,529) 1 Zoroark Master of Illusions (2010) $71,143,529 2 Arceus and the Jewel of Life (2009) $50,673,078 3 Giratina and the Sky Warrior (2008) $43,338,599 4 The Rise of Darkrai (2007) $42,496,749 Best Wishes! $135,384,123 3 $45,128,041 Black—Victini and Reshiram and White—Victini and Zekrom ($57,082,491) 1 Black—Victini and Reshiram and White—Victini and Zekrom (2011) $57,082,491 2 Kyurem vs. the Sword of Justice (2012) $46,008,255 3 Genesect and the Legend Awakened (2013) $32,293,377 Advanced Generation $131,733,093 4 $32,933,273 Lucario and the Mystery of Mew ($37,150,760) 1 Lucario and the Mystery of Mew (2005) $37,150,760 2 Destiny Deoxys (2004) $34,337,258 3 Jirachi Wish Maker (2003) $33,393,751 4 Ranger and the Temple of the Sea (2006) $26,851,324 XY $68,459,730 3 $22,819,910 Diancie and the Cocoon of Destruction ($26,732,338) 1 Diancie and the Cocoon of Destruction (2014) $26,732,338 2 Hoopa and the Clash of Ages (2015) $22,000,000 3 Volcanion and the Mechanical Marvel (2016) $19,727,392 Alternate continuity $61,292,932 2 $30,646,466 I Choose You! ($37,552,144) 1 I Choose You! (2017) $37,552,144 2 The Power of Us (2018) $23,740,788"
139,15,Pokémon,"$1,017,468,004",21,"$48,450,857","The First Movie ($163,644,662)"
140,"The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919","The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919","The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919","The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919","The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919","The Original $414,896,689 5 $82,979,338 The First Movie ($163,644,662) 1 The First Movie (1998) $163,644,662 2 The Movie 2000 (1999) $133,949,270 3 3: The Movie (2000) $68,411,275 4 4Ever (2001) $28,023,563 5 Heroes (2002) $20,867,919"
141,,The Original,"$414,896,689",5,"$82,979,338","The First Movie ($163,644,662)"
142,1,The First Movie (1998),"$163,644,662",,,
143,2,The Movie 2000 (1999),"$133,949,270",,,
144,3,3: The Movie (2000),"$68,411,275",,,
145,4,4Ever (2001),"$28,023,563",,,
146,5,Heroes (2002),"$20,867,919",,,
