UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
2171,2840003923,Fritos Corn Chips Chili Cheese 9.25 OZ BAG,NULL,FRITOS CORN CHIP CHILI CHEESE ZERO GRAMS TRANS FAT BAG 10.5 OZ - 0028400039231,10.50OZ FRITOS CHILI CHEESE,10.50OZ FRITOS CHILI CHEESE,0,0,1,0,FirstIRIMtch,29:46.5
2149,2840002926,Mnch Pbtr Chs Snd Crk 8Ct (11.36 Oz),To Go,MNCH PBTR CHS SND CRK 8CT 11.36 OZ,Munchies Peanut Butter Sandwich Crackers (8 - 1.42 Oz) 11.36 Ounce Bag,Munchies Peanut Butter Sandwich Crackers (8 - 1.42 Ounce) 11.36 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
3405,7349012813,Kdem Kosher Wht Grape,NULL,KEDEM WHITE GRAPE JUICE 1 CT 22 OZ ,Kdem Kosher Wht Grape,Kdem Kosher Wht Grape,0,0,1,0,FirstIRIMtch,29:46.5
3414,3010059111,Keebler Filled Pretzel Bites Peanut Butter & Fudge - 5 pk 6 OZ BOX,NULL,KEEBLER PRETZEL PENUT BTTR FDG PRTZL POUCH IN BOX 6 OZ ,Keebler Filled Pretzel Bites Peanut Butter & Fudge - 5 pk 6 OZ BOX,Keebler Filled Pretzel Bites Peanut Butter & Fudge - 5 pk 6 OZ BOX,0,0,1,0,FirstIRIMtch,29:46.5
2151,2840002927,Mnch Pbtr Tst Snd Crk 8Ct (11.36 Oz),To Go,MNCH PBTR TST SND CRK 8CT 11.36 OZ,Munchies Peanut Butter Sandwich Crackers (8-1.42 Ounce Packs) 11.36 Ounces Bag,Munchies Peanut Butter Sandwich Crackers (8-1.42 Ounce Packs) 11.36 Ounces Bag,0,0,1,0,FirstIRIMtch,29:46.5
32,2200011604,5 Sugar Free Gum An Electric Watermelon Prism - 3 pk 45 CT PKG,NULL,WRIGLEYS 5 PRISM WATERMELON CHEWING GUM SUGAR FREE 45 CT 4.28 OZ ,5 Sugar Free Gum An Electric Watermelon Prism - 3 pk 45 CT PKG,5 Sugar Free Gum An Electric Watermelon Prism - 3 pk 45 CT PKG,0,0,1,0,FirstIRIMtch,29:46.5
2155,2840000227,Frito-Lay Munchos Potato Crisps 4.5 OZ BAG,NULL,MUNCHOS POTATO CRISP REGULAR BAG 4.75 OZ - 0028400002271,Ruffles Party Size Cheddar & Sour Cream 13 Ounce Bag ,Ruffles Party Size Cheddar & Sour Cream 13 Ounce Bag ,0,0,1,0,FirstIRIMtch,29:46.5
2156,2840019079,Munchos Potato Crisps (4.5 Oz),NULL,MUNCHOS POTATO CRISPS 4.25 OZ,Munchos Potato Crisps 4.5 Ounce Bag,Munchos Potato Crisps 4.5 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
1158,81829001277,Chob Grk Ccnut Bl 4Pk,NULL,CHBN 2% CCNT BLND GRK YGT 4/5.3 OZ,Chob Grk Ccnut Bl 4Pk,Chob Grk Ccnut Bl 4Pk,0,0,1,0,FirstIRIMtch,29:46.5
1167,81829001259,Chob Grk 0 Blackbry,NULL,CHBN BLACKBERRY GRK YOGRT 5.3 OZ,Chob Grk 0 Blackbry,Chob Grk 0 Blackbry,0,0,1,0,FirstIRIMtch,29:46.5
