57498,"Frito-Lay Classic Variety Mix, Assorted, 30 count",NULL,NULL,00028400019736,"Frito-Lay Variety Mix Pack (8-2 Oz, 10-1.75 Oz, 12-1.5 Oz) 51.5 Ounce 30 Pack Bag",B00OOVQNEI,1062,"Frito-Lay Variety Pack, Classic Variety Mix of Chips and Snacks, 30 Count",57498,"Frito-Lay Classic Variety Mix, Assorted, 30 count"
57504,"Frito-Lay Sunflower Seeds, Original, 1.88 Oz",NULL,NULL,00028400039062,Frito Lay Original Sunflower Seeds 1.875 Ounce Bag,B00AKKVPH2,755,"Frito-Lay Seeds, Sunflower, 1.88 Ounce (Pack of 30)",57504,"Frito-Lay Sunflower Seeds, Original, 1.88 Oz"
57504,"Frito-Lay Sunflower Seeds, Original, 1.88 Oz",NULL,NULL,00028400039062,Frito Lay Original Sunflower Seeds 1.875 Ounce Bag,B009IME5SE,737,"Frito-Lay Seeds, Sunflower, 1.88 Ounce (Pack of 10)",57504,"Frito-Lay Sunflower Seeds, Original, 1.88 Oz"
57509,"Frito-Lay Mix Variety Pack, Classic, 1 Oz, 50 Ct",NULL,NULL,00028400044042,Frito Lays Variety Pack Classic Mix (50 - 1 Oz) 50 Ounce 50 Pack Bag,B00BGDH9V8,1907,"Frito-Lay Classic Mix Variety Pack, 50 Count",57509,"Frito-Lay Mix Variety Pack, Classic, 1 Oz, 50 Ct"
57509,"Frito-Lay Mix Variety Pack, Classic, 1 Oz, 50 Ct",NULL,NULL,00028400044042,Frito Lays Variety Pack Classic Mix (50 - 1 Oz) 50 Ounce 50 Pack Bag,B00OOVRJ1O,1064,"Frito-Lay Classic Mix Variety Pack, 1 Ounce Bags (50 Count)",57509,"Frito-Lay Mix Variety Pack, Classic, 1 Oz, 50 Ct"
57519,"Frito-Lay Variety Pack - 1 Ounce, 50 Count",NULL,NULL,00028400058049,Frito Lay Flavor Mix (50-1 Oz) 50 Ounce 50 Plastic Bags,B00E230CKE,774,"Frito-Lay Flavor Variety Pack, 50 Ounce",57519,"Frito-Lay Variety Pack - 1 Ounce, 50 Count"
57519,"Frito-Lay Variety Pack - 1 Ounce, 50 Count",NULL,NULL,00028400058049,Frito Lay Flavor Mix (50-1 Oz) 50 Ounce 50 Plastic Bags,B00OOVSXL4,1066,"Frito-Lay Flavor Variety Pack, 1 Ounce Bags (50 Count)",57519,"Frito-Lay Variety Pack - 1 Ounce, 50 Count"
57545,"Frito Lay Flamin' Hot Mix Variety Pack, 30 count, 54 Oz",NULL,NULL,00028400098687,"Frito Lay Flamin' Hot Mix (30: 18-2 oz, 6-1.75 oz, 6-1.25 oz) 54 Ounce 30 Pack Plastic Bag",B00E1Z257G,773,"Frito-Lay Flamin' Hot Mix Variety Pack, 30 Count",57545,"Frito Lay Flamin' Hot Mix Variety Pack, 30 count, 54 Oz"
57564,"Frito-Lay Baked & Popped Chips, Variety Pack, 37.25 Oz, 30 Ct",NULL,NULL,00028400210751,"Frito Lay Baked & Popped Mix (30: 4-2 oz, 6-1.5 oz, 14-1.125 oz, 6- 0.75 oz) 37.25 Ounce 30 Bags Pack. ",B073S4TP58,87094,"Frito-Lay Baked & Popped Mix Variety Pack, 40 Count",57564,"Frito-Lay Baked & Popped Chips, Variety Pack, 37.25 Oz, 30 Ct"
57572,"Fritos Corn Chips, Party Size Scoops, 18 Oz",NULL,NULL,00028400337281,Fritos Scoops Party Size Corn Chips 8 Ounce Plastic Bag,B00TP3YJ6Y,2768,"Fritos Scoops!  Corn Chips, Party Size! (18 Ounce)",57572,"Fritos Corn Chips, Party Size Scoops, 18 Oz"
57572,"Fritos Corn Chips, Party Size Scoops, 18 Oz",NULL,NULL,00028400337281,Fritos Scoops Party Size Corn Chips 8 Ounce Plastic Bag,B00TS9L3R8,2337,"Fritos Scoops!  Corn Chips, Party Size! (18 Ounce)",57572,"Fritos Corn Chips, Party Size Scoops, 18 Oz"
57590,"Fritos Corn Chips, Chili Cheese, 9.25 Oz",NULL,NULL,00028400589284,Fritos Chili Cheese Corn Chips 9.25 Ounce Plastic Bag,B019KE3620,2865,"Fritos Chili Cheese Flavored Corn Chips, 9.25 Ounce",57590,"Fritos Corn Chips, Chili Cheese, 9.25 Oz"
57600,"Frito Lay Chips Popcorn & Nuts Variety Box, 30 Ct",NULL,NULL,00028400634564,Variety Pack Mixed 35.025 Oz/1,B01EAG3VSW,27465,"Send & Share Variety Snack Box, Assortment of Baked, Popped and Nut Snacks, 30 Count",57600,"Frito Lay Chips Popcorn & Nuts Variety Box, 30 Ct"
57613,"College Dorm Care Package, Variety Box of Frito-Lay Chips, Munchies Crackers, Grandma's Cookies, Rice-A-Roni Cups, Chewy Bars and More, 40 Ct Mix",NULL,NULL,00028400647632,Variety Pack Mixed 52.34 Oz/1,B01KNTGZ4C,55888,"College Dorm Snacks Care Package, Variety Box of Chips, Crackers, Cookies, Pasta Cups, and More, 40 Count Mix",57613,"College Dorm Care Package, Variety Box of Frito-Lay Chips, Munchies Crackers, Grandma's Cookies, Rice-A-Roni Cups, Chewy Bars and More, 40 Ct Mix"
59431,Frito Lay Baked & Popped Mix 20Ct,NULL,NULL,00028400264990,"Frito Lay Baked and Popped Mix (3-.5oz, 13-.875oz, 4-1oz) 16.875 Ounce 20 Count Variety Pack Plastic Bag",B00W7A1S4I,2514,"Frito-Lay 20 Count Variety Pack, Baked and Popped Mix",59431,Frito Lay Baked & Popped Mix 20Ct
59431,Frito Lay Baked & Popped Mix 20Ct,NULL,NULL,00028400264990,"Frito Lay Baked and Popped Mix (3-.5oz, 13-.875oz, 4-1oz) 16.875 Ounce 20 Count Variety Pack Plastic Bag",B00ZBK4BHC,2565,"Frito-Lay Baked & Popped Mix Green Variety Pack, 20 Count",59431,Frito Lay Baked & Popped Mix 20Ct
