UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
1226,68826700107,Clear Splash White Grape Sparkling Water Beverage - 6 pk 20 OZ BTL,,PRIVATE LABEL WHITE GRAPE SPARKLING WATER PLASTIC BOTTLE 6 CT 120 OZ ,Clear Splash White Grape Sparkling Water Beverage - 6 pk 20 OZ BTL,Clear Splash White Grape Sparkling Water Beverage - 6 pk 20 OZ BTL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1229,72225219203,Clif Zbar Cho Brw 6Pk,,CLIF KID Z BAR CHOCOLATE BROWNIE 6 CT 7.62 OZ ,Clif Zbar Cho Brw 6Pk,Clif Zbar Cho Brw 6Pk,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1231,72225219704,Clif Kid ZBaR Energy Snacks Chocolate Chip Organic - 6 ct 7.62 OZ BOX,,Clif Kid ZBaR Energy Snacks Chocolate Chip Organic - 6 ct 7.62 OZ BOX,Clif Kid ZBaR Energy Snacks Chocolate Chip Organic - 6 ct 7.62 OZ BOX,Clif Kid ZBaR Energy Snacks Chocolate Chip Organic - 6 ct 7.62 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
1234,86742777905,Coach Farm Goat Milk Yogurt Honey 6 OZ CUP,,Coach Farm Goat Milk Yogurt Honey 6 OZ CUP,Coach Farm Goat Milk Yogurt Honey 6 OZ CUP,Coach Farm Goat Milk Yogurt Honey 6 OZ CUP,1,1,0,FALSE,AdminMtch421,29:46.5
1238,4900000036,Coca-Cola Cherry 2 LTR BTL,,COCA COLA CHERRY SODA CHERRY COLA NR PLASTIC BOTTLE 1 CT 67.6 OZ ,Coca-Cola Cherry 2 LTR BTL,Coca-Cola Cherry 2 LTR BTL,0,0,1,FALSE,FirstIRIMtch,29:46.5
2177,2840003924,Fritos Corn Chips Original 9.25 OZ BAG,,FRITOS CORN CHIP ORIGINAL ZERO GRAMS TRANS FAT BAG 10.5 OZ ,10.50OZ FRITOS REGULAR,10.50OZ FRITOS REGULAR,0,0,1,FALSE,FirstIRIMtch,29:46.5
2180,2840024053,FRITOS CHIPS CORN ORIGINAL,Mainstream,FRITOS CORN CHIP ORIGINAL BAG 9.75 OZ ,Fritos The Original Corn Chips 9.75 Ounce Plastic Bag,Fritos The Original Corn Chips 9.75 Ounce Plastic Bag,0,0,1,FALSE,FirstIRIMtch,29:46.5
2181,2840005660,Fritos Corn Chips 6Ct (6 Oz),,FRITOS CORN CHIPS 6CT 6 OZ,Fritos Regular Corn Chips 6.00 OZ ,Fritos Regular Corn Chips 6 Ounce Plastic Bag,0,0,1,FALSE,FirstIRIMtch,29:46.5
2185,2840003930,Fritos Scoops! Corn Chips 9.25 OZ BAG,,FRITOS SCOOPS CORN CHIP REGULAR ZERO GRAMS TRANS FAT BAG 10.5 OZ - 0028400039301,10.50OZ FRITOS SCOOPS,10.50OZ FRITOS SCOOPS,0,0,1,FALSE,FirstIRIMtch,29:46.5
150,81878001087,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Dark Chocolatier Sea Salt 4.5 OZ BAG,,ANGIES RTE POPCORN HOLIDRZZL DRK CHCLTR SEA SALT BAG 4.5 OZ ,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Dark Chocolatier Sea Salt 4.5 OZ BAG,Angie's BOOMCHICKAPOP Holidrizzle Kettle Corn Dark Chocolatier Sea Salt 4.5 OZ BAG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
154,81878001285,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,,ANGIES BOOM CHICKA POP RTE POPCORN MAPLE SEA SALT SEA SALT ZERO TRANS FAT BAG 3.5 OZ ,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,Angie's BOOMCHICKAPOP Popcorn Maple Sea Salt Organic 3.5 OZ BAG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
157,89277300086,Bcp Sea Salt Popcorn,,ANGIES BC POP SEA SALT PC 5 OZ,Bcp Sea Salt Popcorn,Bcp Sea Salt Popcorn,0,0,1,FALSE,FirstIRIMtch,29:46.5
160,81878001353,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,,ANGIES BOOM CHICKA PUFF CHEESE SNACK SWEET BARBEQUE ZERO GRAMS TRANS FAT BAG 4 OZ ,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,Angie's BOOMCHICKAPUFF Baked Ancient Grain Puffs Sweet Barbeque 4 OZ BAG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
163,89277300060,Angie's Delightfully Different Kettle Corn Classic Sweet & Salty 7 OZ BAG,,ANGIES RTE POPCORN KETTLE CORN SEA SALT BAG 7 OZ ,Angie's Delightfully Different Kettle Corn Classic Sweet & Salty 7 OZ BAG,Angie's Delightfully Different Kettle Corn Classic Sweet & Salty 7 OZ BAG,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
168,,Annie's Homegrown Bunny Cookies Cocoa & Vanilla Gluten Free 6.75 OZ BOX,,Annie's Homegrown Bunny Cookies Cocoa & Vanilla Gluten Free 6.75 OZ BOX,Annie's Homegrown Bunny Cookies Cocoa & Vanilla Gluten Free 6.75 OZ BOX,Annie's Homegrown Bunny Cookies Cocoa & Vanilla Gluten Free 6.75 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
