,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
0,333.0,2018-04-03 09:01:26.613,2018-04-03 09:07:00.5330,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,32516,Subscriber,1991,1,-0.00723877376486115,0.00010326488921919008,-0.8051675986523007,0.008798844823155114,0.8052156739593029,8.705034313073545,2018-04-03,9,20-39,196.9,66.23
1,1391.0,2019-03-25 19:12:15.529,2019-03-25 19:35:26.8030,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,29906,Subscriber,1974,1,0.017085080000001085,-0.009649400000000695,1.900370599114474,-0.8221920720443784,2.0706057609577284,5.358864658122086,2019-03-25,19,40-59,200.9,282.27464646464637
2,240.0,2015-09-21 17:37:02.000,9/21/2015 17:41:02,329.0,Greenwich St & N Moore St,40.72043411,-74.01020609,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,16850,Subscriber,1971,1,0.005096209999997825,0.006377450000002227,0.5668505884027717,0.5434005046801742,0.7852411719078646,11.778617578617967,2015-09-21,17,40-59,200.9,48.7030303030303
3,1146.0,2014-04-16 19:09:18.000,2014-04-16 19:28:24,379.0,W 31 St & 7 Ave,40.749156,-73.9916,290.0,2 Ave & E 58 St,40.76020258,-73.96478473,20953,Subscriber,1987,1,-0.011046579999998585,-0.02681527000000017,-1.2287092511572641,-2.28483661198914,2.5942638199237673,8.149519853163666,2014-04-16,19,20-39,196.9,227.92666666666668
4,948.0,2018-09-03 10:02:36.948,2018-09-03 10:18:25.1490,462.0,W 22 St & 10 Ave,40.74691959,-74.00451887,519.0,Pershing Square North,40.751872999999996,-73.97770600000003,29432,Subscriber,1978,2,-0.004953410000005931,-0.02681286999997212,-0.5509669682184867,-2.284632116269617,2.350129465956814,8.924542275785369,2018-09-03,10,40-59,176.4,168.9163636363636
5,261.0,2017-08-08 06:41:45.000,2017-08-08 06:46:06,3435.0,Grand St & Elizabeth St,40.718821999999996,-73.99596,377.0,6 Ave & Canal St,40.72243797,-74.00566443,20319,Subscriber,1983,2,-0.0036159699999984696,0.00970442999999932,-0.4022037400630621,0.8268809884250308,0.9195107490070309,12.6829068828556,2017-08-08,6,20-39,167.6,44.18545454545454
6,443.0,2017-08-08 07:56:00.000,2017-08-08 08:03:24,3159.0,W 67 St & Broadway,40.77492513,-73.98266566,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,25388,Subscriber,1980,1,0.010528030000003241,-0.008951009999989878,1.171031021136573,-0.7626846704231453,1.397498321631417,11.356645503099553,2017-08-08,7,20-39,196.9,88.10777777777778
7,541.0,2018-11-30 09:48:52.918,2018-11-30 09:57:54.7670,2010.0,Grand St & Greene St,40.72165481,-74.00234737,2010.0,Grand St & Greene St,40.72165481,-74.00234737,35166,Subscriber,1957,1,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-30,9,60+,194.7,106.39666666666666
8,463.0,2019-03-14 09:53:37.176,2019-03-14 10:01:20.5650,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,18125,Subscriber,1996,2,-0.010768560000002479,-0.00403344000000061,-1.197785132923204,-0.3436755022143283,1.2461147922539595,9.689013503486509,2019-03-14,9,20-39,167.6,78.38262626262626
9,386.0,2015-06-23 17:28:00.000,6/23/2015 17:34,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,375.0,Mercer St & Bleecker St,40.72679454,-73.99695094,19818,Subscriber,1976,1,0.006120989999999439,-0.01016289999999742,0.6808366968999793,-0.8659456348557516,1.1015445748454329,10.273472718765694,2015-06-23,17,40-59,200.9,78.33070707070706
10,1080.0,2018-02-16 10:48:23.152,2018-02-16 11:06:23.7360,3354.0,3 St & Prospect Park West,40.668132,-73.97363831,3599.0,Franklin Ave & Empire Blvd,40.66314000000001,-73.96056949999998,16111,Subscriber,1969,2,0.004991999999987229,-0.013068810000021358,0.5552593274807366,-1.1135481970973404,1.244308043859356,4.147693479531188,2018-02-16,10,40-59,176.4,192.4363636363636
11,327.0,2018-01-07 16:17:26.870,2018-01-07 16:22:54.3190,3135.0,E 75 St & 3 Ave,40.77112927,-73.95772297,3378.0,E 76 St & Park Ave,40.773763,-73.96222088,31162,Subscriber,1982,2,-0.0026337299999994452,0.0044979099999977725,-0.2929493486717296,0.38325138793780256,0.4823908656301885,5.31072512620391,2018-01-07,16,20-39,167.6,55.35878787878787
12,2514.0,2017-05-21 12:20:09.000,2017-05-21 13:02:03,3314.0,W 95 St & Broadway,40.7937704,-73.971888,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,28043,Subscriber,1990,1,0.05726839999999811,0.006206719999994448,6.369954581325746,0.5288531906019389,6.39187038865485,9.153036356068997,2017-05-21,12,20-39,196.9,500.00666666666666
13,1626.0,2014-12-01 09:25:17.000,12/1/2014 09:52:23,361.0,Allen St & Hester St,40.71605866,-73.99190759,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,19773,Subscriber,1981,1,-0.033659092999997135,0.011042756000009035,-3.7438953010492377,0.9409151280626012,3.860320362798355,8.546834751583074,2014-12-01,9,20-39,196.9,323.3933333333333
14,251.0,2018-02-16 14:27:47.412,2018-02-16 14:31:59.0220,433.0,E 13 St & Avenue A,40.72955361,-73.98057249,266.0,Avenue D & E 8 St,40.72368361,-73.97574813,30673,Subscriber,1969,1,0.005870000000001596,-0.004824360000000638,0.6529191210579224,-0.41106706579562,0.7715435899706966,11.065963840217162,2018-02-16,14,40-59,200.9,50.93525252525252
15,624.0,2016-10-17 08:59:10.000,2016-10-17 09:09:34,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,468.0,Broadway & W 55 St,40.7652654,-73.98192338,18099,Subscriber,1975,1,-0.010262859999997431,0.0017790099999928086,-1.1415362062584344,0.15158330238995704,1.151556515227257,6.643595280157252,2016-10-17,8,40-59,200.9,126.6278787878788
16,574.0,2017-06-21 13:25:20.000,2017-06-21 13:34:54,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,3428.0,8 Ave & W 16 St,40.740983,-74.00170200000002,20182,Subscriber,1971,2,-0.013880419999999559,-0.0012688799999835965,-1.5439168017567386,-0.1081168856469945,1.5476977585138392,9.706815210191326,2017-06-21,13,40-59,176.4,102.27636363636364
17,1774.0,2018-03-12 08:40:03.501,2018-03-12 09:09:38.3030,2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999998,303.0,Mercer St & Spring St,40.72362738,-73.99949601,25228,Subscriber,1984,2,-0.006740380000003654,0.03629801000002431,-0.7497313433045295,3.0928281606115817,3.1824020987620707,6.458087686326637,2018-03-12,8,20-39,167.6,300.3256565656565
